latitud,longitud,OBJECTID,Y,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_,CBML,TIPO_GEOCO,GRAVEDAD,BARRIO,COMUNA,DISENO
-75.6380623347354,6.1782166866903,259034,1175177,1519832,2016-01-20T00:00:00.000Z,11:00 AM,MIÉRCOLES,2016,Choque,CR 55 CL 48 A Sur,CR  055  S 048 A  000 00000,8000,Malla vial,SOLO DAÑOS,Cabecera San Antonio de Prado,Corregimiento de San Antonio de Prado,Lote o Predio
-75.5673509699514,6.25409843001743,259035,1183570,1519765,2016-01-20T00:00:00.000Z,01:25 PM,MIÉRCOLES,2016,Choque,CL 54 CR 51,CL  054   051  000 00000,1005,Malla vial,SOLO DAÑOS,Estación Villa,La Candelaria,Tramo de via
-75.5700139152738,6.24012654353771,259036,1182024.52,1519752,2016-01-20T00:00:00.000Z,02:35 PM,MIÉRCOLES,2016,Choque,CR 46 CL 40,CR  046   040  000 00000,1013,Malla vial,SOLO DAÑOS,Barrio Colón,La Candelaria,Tramo de via
-75.5590854746921,6.2110033820403,259037,1178803.1,1519682,2016-01-20T00:00:00.000Z,08:40 AM,MIÉRCOLES,2016,Choque,CR 30 CL 10 C,CR  030   010 C  000 00000,1407,Malla vial,SOLO DAÑOS,Las Lomas No.2,El Poblado,Tramo de via
-75.5930212803096,6.27338914720499,259038,1185703.9,1519685,2016-01-20T00:00:00.000Z,10:30 AM,MIÉRCOLES,2016,Volcamiento,CR 80 CL 64,CR  080   064  000 00000,705,Malla vial aproximada: CR 80-65,SOLO DAÑOS,Facultad de Minas U. Nacional,Robledo,Tramo de via
-75.5968265764597,6.2501237301027,259040,1183130.45,1519883,2016-01-20T00:00:00.000Z,10:45 AM,MIÉRCOLES,2016,Choque,CR 78 CL 44,CR  078   044  000 00000,1112,Malla vial,SOLO DAÑOS,El Velódromo,Laureles Estadio,Interseccion
-75.5914522711966,6.23159711926689,259041,1181081.12,1519753,2016-01-20T00:00:00.000Z,09:30 PM,MIÉRCOLES,2016,Choque,CL 30 CR 70,CL  030   070  000 00000,1602,Malla vial,SOLO DAÑOS,Rosales,Belén,Tramo de via
-75.5590854746921,6.2110033820403,259042,1178803.1,1519782,2016-01-20T00:00:00.000Z,02:00 PM,MIÉRCOLES,2016,Choque,CL 10 C CR 30,CL  010 C   030  000 00000,1407,Malla vial cruce invertido,SOLO DAÑOS,Las Lomas No.2,El Poblado,Interseccion
-75.57248293353,6.23817033662874,259044,1181808.14,1520049,2016-01-20T00:00:00.000Z,01:30 PM,MIÉRCOLES,2016,Choque,CL 37 CR 50,CL  037   050  000 00000,1011,Malla vial,SOLO DAÑOS,Calle Nueva,La Candelaria,Interseccion
-75.567578137137,6.20903168031838,259045,1178585,1519913,2016-01-20T00:00:00.000Z,06:20 PM,MIÉRCOLES,2016,Choque,CL 9 A CR 38,CL  009 A   038  000 00000,1418,Malla vial,SOLO DAÑOS,El Poblado,El Poblado,Tramo de via
-75.5716565638291,6.26513789246112,259046,1184791.12,1519839,2016-01-20T00:00:00.000Z,08:00 AM,MIÉRCOLES,2016,Choque,CL 66 CR 63,CL  066   063  000 00000,517,Malla vial aproximada: CL 67-63,SOLO DAÑOS,Caribe,Castilla,Tramo de via
-75.5586147063779,6.27362699140784,259047,1185730.13,1519740,2016-01-20T00:00:00.000Z,12:45 PM,MIÉRCOLES,2016,Choque,CL 80 CR 49 A,CL  080   049 A  000 00000,414,Malla vial,SOLO DAÑOS,Brasilia,Aranjuez,Tramo de via
-75.6096814397249,6.23250364035879,259049,1181181.53,1519840,2016-01-21T00:00:00.000Z,04:50 AM,JUEVES,2016,Volcamiento,CR 87 CL 31,CR  087   031  000 00000,1615,Malla vial,HERIDO,Los Alpes,Belén,Tramo de via
-75.613799511249,6.25664928844702,259050,1183852.41,1519841,2016-01-21T00:00:00.000Z,08:00 AM,JUEVES,2016,Choque,CL 46 CR 98,CL  046   098  000 00000,1308,Malla vial aproximada: CL 45-98,HERIDO,San Javier No.2,San Javier,Tramo de via
-75.5901917026851,6.24944469856416,259052,1183055.3,1519810,2016-01-21T00:00:00.000Z,07:30 AM,JUEVES,2016,Choque,CL 44 CR 71,CL  044   071  000 00000,1117,Malla vial,HERIDO,Florida Nueva,Laureles Estadio,Tramo de via
-75.6080047606986,6.24078277233337,259053,1182097.3,1519848,2016-01-21T00:00:00.000Z,01:25 PM,JUEVES,2016,Choque,CR 84 CL 33 B,CR  084   033 B  000 00000,1110,Malla vial,HERIDO,La Castellana,Laureles Estadio,Interseccion
-75.5714084777015,6.22902582404633,259054,1180796.63,1519855,2016-01-21T00:00:00.000Z,11:00 AM,JUEVES,2016,Atropello,CL 29 CR 44,CL  029   044  000 00000,1012,Malla vial,HERIDO,Perpetuo Socorro,La Candelaria,Tramo de via
-75.5692174826057,6.27574971353517,259055,1185964.93,1519850,2016-01-21T00:00:00.000Z,03:55 PM,JUEVES,2016,Choque,CR 63 CL 78,CR  063   078  000 00000,405,Malla vial aproximada: CR 62-78,HERIDO,Moravia,Aranjuez,Tramo de via
-75.5730558217296,6.26351519849269,259056,1184611.63,1520191,2016-01-21T00:00:00.000Z,03:00 PM,JUEVES,2016,Choque,CR 63 CL 67,CR  063   067  000 00000,701,Malla vial,HERIDO,Universidad Nacional,Robledo,Tramo de via
